x,y,type
1076.6698113207547,771.9150943396227,star
202.31914893617022,1387.4255319148936,star
2479.6875,1658.875,star
3236.090909090909,2467.090909090909,star
1578.5636363636363,2648.327272727273,star
196.22222222222223,2744.5,star
2531.696808510638,2783.095744680851,star
1380.6153846153845,2906.3846153846152,star
1594.7111111111112,3371.133333333333,star
3787.637931034483,3410.5,star
933.2545454545455,3511.8545454545456,star
3171.671232876712,3750.328767123288,star
2423.2,3784.925,star
1916.7142857142858,4157.5,star
2513.9325396825398,1259.5031746031746,streak
