x,y,type
1075.0776699029127,772.0776699029126,star
201.1904761904762,1388.0714285714287,star
2478.6,1658.4,star
3235.5,2466.5,star
1577.9272727272728,2648.3454545454547,star
195.88888888888889,2745.277777777778,star
2531.109375,2782.765625,star
1380.5,2906.5,star
1594.5652173913043,3371.1521739130435,star
3787.5677966101694,3409.4322033898306,star
932.9642857142857,3512.410714285714,star
3171.72,3749.6666666666665,star
2423.157894736842,3784.5,star
1916.7142857142858,4157.5,star
2143.953637090328,1302.8912869704236,streak
