x,y,type
1078.7333333333333,770.6857142857143,star
204.33333333333334,1386.0,star
2481.4,1658.4,star
3237.681818181818,2466.8636363636365,star
1579.7735849056603,2647.6603773584907,star
198.0,2743.3529411764707,star
2533.07027027027,2782.816216216216,star
1382.3846153846155,2905.3846153846152,star
1596.0666666666666,3370.5555555555557,star
3789.2300884955753,3410.2300884955753,star
934.6111111111111,3510.6111111111113,star
3173.0,3750.0,star
2424.5,3784.1666666666665,star
1917.7692307692307,4156.846153846154,star
2893.0832684824904,1216.657587548638,streak
