x,y,type
1071.1078431372548,772.7843137254902,star
197.9090909090909,1389.6363636363637,star
2475.125,1657.6875,star
3232.5,2465.2727272727275,star
1575.2884615384614,2648.7115384615386,star
193.0,2747.0,star
2528.577540106952,2782.1978609625667,star
1377.8181818181818,2907.181818181818,star
1592.3541666666667,3371.6458333333335,star
3785.5,3407.637931034483,star
931.1071428571429,3513.410714285714,star
3170.0,3748.5,star
2421.5897435897436,3784.0,star
1915.5,4157.5,star
1435.6702997275204,1390.324250681199,streak
