x,y,type
1072.0,772.5,star
198.27906976744185,1389.0697674418604,star
2476.2,1657.9333333333334,star
3233.3636363636365,2465.590909090909,star
1575.811320754717,2648.433962264151,star
193.88888888888889,2746.277777777778,star
2529.157608695652,2782.1739130434785,star
1378.3636363636363,2906.909090909091,star
1593.4285714285713,3371.673469387755,star
3786.513043478261,3408.313043478261,star
932.1296296296297,3513.296296296296,star
3170.957142857143,3748.942857142857,star
2422.4054054054054,3784.162162162162,star
1916.2857142857142,4157.5,star
1608.7112488928256,1368.4189548272807,streak
