x,y,type
1077.5,771.9622641509434,star
203.31914893617022,1387.5744680851064,star
2480.6470588235293,1659.0,star
3237.04,2467.4,star
1579.388888888889,2648.3888888888887,star
197.11111111111111,2744.722222222222,star
2532.573684210526,2783.3263157894735,star
1381.5,2906.5,star
1595.5714285714287,3371.326530612245,star
3788.594827586207,3410.594827586207,star
933.9827586206897,3512.1724137931033,star
3172.5454545454545,3750.5454545454545,star
2424.2,3785.075,star
1917.6,4157.6,star
2702.393682588598,1238.0084745762713,streak
